_identifier,_location,english,german,french,spanish,chinese,ukrainian,russian
ls_01,leaving fullscreen (ls),Please do not change or minimize the browser window while the study is running. Only if there is a break in the course of the study. ,"Bitte wechseln oder minimieren Sie das Browserfenster nicht, w?hrend die Studie l?uft, sondern nur, wenn es w?hrend der Studie eine Pause gibt.","Veuillez ne pas changer ou réduire la fenêtre du navigateur pendant que l'étude est en cours, mais uniquement lorsqu'il y a une pause pendant l'étude.",Por favor no cambie o minimize la pesta?a hasta que haya teminado la sesión. Solo si hay una pausa.,当研究运行时，请不要改变或最小化浏览器窗口，除非研究进程中有一处暂停。,,
global_closeButton,global,Close,Schlie?en,Fermer,Cerrar,关闭,,
qr_start,quick reference (qr),"Please click on the navigation bar if you need help how to draw a Cognitive Affective Map, else you can just close this window.","Bitte klicken Sie auf die Navigationsleiste, wenn Sie Hilfe brauchen, wie man eine Cognitive Affective Map zeichnet. Ansonsten k?nnen Sie dieses Fenster jetzt schlie?en.","Veuillez cliquer sur la barre de navigation si vous avez besoin d'aide pour dessiner une Cognitive Affective Map. Sinon, vous pouvez maintenant fermer cette fenêtre.","Si necesita ayuda sobre como trazar un Cognitive Affective Map por favor haga clic en la barra de navegación, en caso contrario usted puede simplemente cerrar esta ventana",如果您需要关于如何绘制一个 Cognitive Affective Map 的帮助，请点击导航键，否则，您可以直接关闭窗口。,,
qr_top,quick reference,Quick reference,Schnellübersicht,Aper?u rapide,Referencia rápida,快速参考,,
qr_legend_10,quick reference,Every concept is given a basic emotional value:,Jedes Konzept erh?lt einen grundlegenden emotionalen Wert:,Chaque concept se voit attribuer une valeur émotionnelle fondamentale:,A cada concepto se le asigna un valor emocionál básico:,每个概念都被赋予了一个基本情感价值：,,
qr_legend_11,quick reference,Positive concept,Positives Konzept,Concept positif,Concepto positivo,积极概念,,
qr_legend_12,quick reference,Negative concept,Negatives Konzept,Concept négatif,Concepto negativo,消极概念,,
qr_legend_13,quick reference,Ambivalent concept,Ambivalentes Konzept,Concept ambivalent,Concepto ambivalente,矛盾概念,,
qr_legend_14,quick reference,Neutral concept,Neutrales Konzept,Concept neutre,Concepto neutro,中性概念,,
qr_legend_20,quick reference,Draw links between concepts that are related to each other:,"Zeichnen Sie Verbindungen zwischen Konzepten, die in einem Zusammenhang zueinander stehen",Dessinez des liens entre les concepts qui ont un rapport entre eux.,Traze conecciones entre conceptos que están relacionados entre si ,在彼此关联的概念之间绘线：,,
qr_legend_21,quick reference,Concepts support each other,Konzepte verst?rken einander,Les concepts se renforcent mutuellement,Los conceptos se refuerzan mutualmente,概念彼此强化,,
qr_legend_22,quick reference,Concepts inhibit each other,Konzepte hemmen einander,Les concepts s'inhibent mutuellement,Los conceptos se inhiben mutualmente,概念彼此抑制,,
qr_legend_30,quick reference,Move your Cognitive-Affective Map,Bewegen Sie Ihre Cognitive Affective Map,Déplacez votre Cognitive Affective Map,Mueva su Cognitive Affective Map,移动您的 Cognitive Affective Map,,
qr_legend_31,quick reference,by moving your cursor to the edge of the drawing window (grey area):,"dadurch, dass Sie den Cursor zum Rand des Zeichenfensters (grauer Bereich) bewegen",en dépla?ant le curseur vers le bord de la fenêtre de dessin (zone grise),por mover el cursor del ratón hacia el borde de la ventana de trazar (area griz),通过移动您的光标到绘图窗口的边缘（灰色区域）,,
qr_concept_10,quick reference,"Create, update, delete concepts:","Konzepte erstellen, aktualisieren, l?schen:","Créer, actualiser, supprimer des concepts:","Crear, actualizar, borrar conceptos:",建立，更新，删除概念：,,
qr_concept_11,quick reference,<b>Create:</b> Single click on blank drawing space,<b>Erstellen:</b> Einzelner Mausklick auf die wei?e Zeichenfl?che,<b>Créer:</b> Un seul clic de souris sur la zone de dessin blanche,<b>Crear:</b> Haga clic simple en el área blanco de trazar,<b>建立：</b> 单击空白绘图区域,,
qr_concept_12,quick reference,<b>Update:</b> Double click on existing concept,<b>Aktualisieren:</b> Doppelklick auf bereits existierendes Konzept,<b>Mise à jour:</b> double-clic sur un concept déjà existant,<b>Actualizar:</b> Haga doble clic en concepto ya existente,<b>更新：</b> 双击已存在的概念,,
qr_concept_13,quick reference,"<b>Delete:</b> Double click on existing concept and press on the ""trash bin"" symbol top right","<b>L?schen:</b> Doppelklick auf bereits existierendes Konzept und anschlie?end Klick auf ""Papierkorb"" Symbol in der oberen rechten Ecke, des Fensters, das sich ?ffnet","<b>Effacer:</b> double-clic sur un concept déjà existant, puis clic sur l'ic?ne ""rbeille"" en haut à droite de la fenêtre qui s'ouvre.  ","<b>Borrar:</b> Haga doble clic en concepto ya existente seguido por un clic en el simbolo de ""papelera""  en la esquina superior derecha de la ventana que se abre",<b>删除：</b> 双击已存在的概念并且点击顶端右侧的“垃圾箱”图标,,
qr_concept_20,quick reference,Change content of concepts:,Inhalt von Konzepten ver?ndern:,Modifier le contenu des concepts:,Cambiar contenido de conceptos:,更改概念内容：,,
qr_concept_21,quick reference,<b>Add text:</b> Change the content of the concept (use only single words),<b>Text hinzufügen:</b> Ver?ndern sie den Inhalt des Konzepts (benutzen Sie nur einzelne Worte),<b>Ajouter du texte:</b> Modifier le contenu du concept (n'utiliser que des mots isolés),<b>A?adir texto:</b> Cambie el contenido del concepto (use solamente palabras individuales),<b>添加文本 ：</b> 更改此概念的内容（仅使用一个词语）,,
qr_concept_22,quick reference,<b>Change type and strength:</b> Use the slider to change the emotional attribution and strength of the concept,"<b>Art und St?rke ver?ndern:</b> Benutzen Sie den Regler, um die dem Konzepts zugeordnete Emotion und deren St?rke zu ver?ndern",<b>Modifier le type et la force:</b> Utilisez le curseur pour modifier l'émotion associée au concept et sa force.,<b>Cambiar tipo e intensidad:</b> Use el control deslizante para cambiar el tipo y la intensidad de la emoción que se le atribuye al concepto,<b>更改类型和强度 ：</b> 使用滑块来更改概念的情感属性和强度,,
qr_concept_23,quick reference,"<b>Add comment:</b> type comment in the ""Comment"" section","<b>Kommentar hinzufügen:</b> Schreiben Sie einen Kommentar in das Eingabefeld ""ommentar""n","<b>Ajouter un commentaire:</b> Ecrivez un commentaire dans le champ de saisie ""Commentaire"".","<b>A?adir comentario:</b> Escriba un comentario en el campo de entrade ""comentario"" ",<b>添加注释：</b> 在“注释”部分输入注释,,
qr_connection_10,quick reference,"Create, update, delete connections:","Verbindungen erstellen, aktualisieren, l?schen:","Créer, mettre à jour, supprimer des connexions:","Crear, actualizar, borrar conecciones:",建立，更新，删除联系：,,
qr_connection_11,quick reference,<b>Create:</b> Click on two concepts to draw a connection,<b>Erstellen:</b> Klicken Sie auf zwei Konzepte um eine Verbindung zu zeichnen,<b>Créer:</b> Cliquez sur deux concepts pour dessiner un lien,<b>Crear:</b> Haga clic en dos conceptos para trazar una conexión entre ellos,<b>建立：</b> 点击两个概念来绘制一个联系,,
qr_connection_12,quick reference,<b>Update:</b> Double click on existing connection,<b>Aktualisieren:</b> Doppelklick auf bereits existierende Verbindung,<b>Mettre à jour:</b> double-clic sur une connexion déjà existante,<b>Actualizar:</b> Haga doble clic en conexión ya existente,<b>更新：</b> 双击已存在的联系,,
qr_connection_13,quick reference,"<b>Delete:</b> Double click on existing concept and press on the ""trash bin"" symbol top right","<b>L?schen:</b> Doppelklick auf bereits existierende Verbindung und anschlie?end Klick auf ""Papierkorb"" Symbol in der oberen rechten Ecke, des Fensters, das sich ?ffnet","<b>Effacer:</b> double-clic sur une connexion existante, puis clic sur l'ic?ne ""Corbeille"" dans le coin supérieur droit de la fenêtre qui s'ouvre.","<b>Borrar:</b> Haga doble clic en conexión ya existente seguido por un clic en el simbolo de ""apelera"" en la esquina superior derecha de la ventana que se abree",<b>删除：</b> 双击已存在的联系并且点击顶端右侧的“垃圾箱”图标,,
qr_connection_20,quick reference,Change content of connections: ,Inhalt von Verbindung ver?ndern:,Modifier le contenu de la connexion:,Cambiar contenido de conecciones:,更改联系内容：,,
qr_connection_21,quick reference,<b>Change type and strength:</b> Use the slider to change the type (agreement or disagreement) and strength of the connection,"<b>Art und St?rke ver?ndern:</b> Benutzen Sie den Regler, um die Art der Verbindung (Verst?rkung oder Hemmung) und die St?rke der Verbindung zu ver?ndern",<b>Modifier le type et la force:</b> Utilisez le curseur pour modifier le type de connexion (renforcement ou inhibition) et la force de la connexion.,<b>Cambiar tipo e intensidad:</b> Use el control deslizante para cambiar el de la conexión (reforzamineto o inhibición),<b>更改类型和强度 ：</b> 使用滑块来更改联系的类型（强化或抑制）和强度,,
qr_connection_21a,quick reference,<b>Change strength:</b> Use the slider to change the strength of the connection,"<b>St?rke ver?ndern:</b> Benutzen Sie den Regler, um die St?rke der Verbindung zu ver?ndern",<b>Changer la force:</b> Utilisez le curseur pour changer la force de la connexion,<b>Cambiar intensidad:</b> Use el control deslizante para cambiar el de la conexión (reforzamineto),<b>更改强度 ：</b> 使用滑块来更改联系的强度,,
qr_connection_22,quick reference,Direction of Influence:,Richtung des Einflusses,Direction de l'influence,Dirección de la influencia,影响方向：,,
qr_connection_23,quick reference,Concepts influence each other,Konzepte beeinflussen sich gegenseitig,Les concepts s'influencent mutuellement,Conceptos se influyen mutualmente,概念相互影响,,
qr_connection_24,quick reference,Concepts influence each other in a one-sided direction from left to right,Konzepte beeinflussen sich nur in eine Richtung von links nach rechts,"Les concepts ne s'influencent que dans un sens, de gauche à droite",La influencia entre los conceptos es unidireccional del concepto izquierdo al concepto derecho,概念通过一个单向从左到右的方向相互影响,,
qr_buttons_10,quick reference,Clicking on the buttons in the upper bar leads to the following results: ,Ein Klick auf die Buttons in der oberen Leiste bewirkt Folgendes:,Un clic sur les boutons de la barre supérieure provoque les résultats suivants:,Hacer clic en los botones de la barra superior lleva a los siguientes resultados:,点击上栏中的按钮会产生以下结果：,,
qr_buttons_11,quick reference,save Cognitive-Affective Map and send data to the server,Cognitive-Affective Map speichern und Daten zum Server senden,Enregistrer la carte cognitive-affective et envoyer les données au serveur,Guardar Cognitive-Affective Map y mandar datos al servidor,保存 Cognitive-Affective Map 并且发送数据到服务器,,
qr_buttons_12,quick reference,download Cognitive-Affective Map as a picture,Cognitive-Affective Map als Bild herunterladen,Télécharger la Cognitive Affective Map en tant qu'image,Bajar Cognitive-Affective Map en de imagen ,下载 Cognitive-Affective Map 为图片,,
qr_buttons_13,quick reference,delete Cognitive-Affective Map and no data will be send to the server,Cognitive-Affective Map l?schen und keine Daten werden zum Server gesendet,Effacer la Cognitive Affective Map et aucune donnée n'est envoyée au serveur,Borrar Cognitive-Affective Map y no se envian datos al servidor,删除 Cognitive-Affective Map 并且没有数据会被发送到服务器,,
qr_tab_01,quick reference,Legend,Legende,Légende,Leyenda,图例,,
qr_tab_02,quick reference,Concept,Konzept,Concept,Concepto,概念,,
qr_tab_03,quick reference,Connection,Verbindung,Lien,Conexión,联系,,
qr_tab_04,quick reference,Buttons,Buttons,Boutons,Botones,按钮,,
btr_01,buttons top right (btr),Open a quick reference,Schnellhilfe ?ffen,Ouvrir l'aide rapide,Abrir referencia rápida,打开快速参考,,
btr_02,buttons top right,Save CAM on server,CAM auf Server speichern,Enregistrer la CAM sur le serveur,Guardar CAM en el servidor,保存CAM到服务器,,
btr_03,buttons top right,Save CAM as picture,CAM als Bild speichern,Enregistrer la CAM en tant qu'image,Guardar CAM en formato de imagen,保存CAM为图片,,
btr_04,buttons top right,Delete CAM,CAM l?schen,Supprimer la CAM,Borrar CAM,删除CAM,,
nd_01,nodes dialog (nd),Content:,Inhalt:,Contenu:,Contenido:,内容：,,
nd_02,nodes dialog (nd),Type and Strength of Concept:,Art und St?rke des Konzepts:,Type et force du concept:,Tipo e intensidad del concepto,概念类型和强度：,,
nd_03,nodes dialog (nd),set concept to,Konzept setzen als,Définir le concept comme,Declarar que concepto es,设置概念为,,
nd_04,nodes dialog (nd),Comment,Kommentar,Commentaire,Comentario,注释,,
nd_05buttonDelete,nodes dialog (nd),Delete Concept,Konzept l?schen,Supprimer le concept,Borrar concepto,删除概念,,
cd_01,connector dialog (cd),Type and Strength of Connection,Art und St?rke der Verbindung,Type et force du lien,Tipo e intensidad de la conexión,联系类型和强度,,
cd_01a,connector dialog (cd),Strength of Connection:,St?rke der Verbindung:,Force du lien:,Intensidad de la conexión,联系强度：,,
cd_02,connector dialog (cd),Inhibition,Hemmung,Inhibition,Inhibición,抑制,,
cd_03,connector dialog (cd),Support,Verst?rkung,Renforcement,Reforzamiento,强化,,
