CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	predefinedConcept	isDraggable	isDeletable	isTextChangeable	isActive	text_summarized
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	57a0f995-da95-4be5-aaf4-bc03dfa0fdaa	climate change	0		2023-12-10T10:35:13Z	650	400	TRUE	0	0	0	TRUE	Climate Change_neutral
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	c303f306-8e5e-4205-b46e-8847d119e002	negative emotions	10		2023-12-10T10:35:54Z	255.3333	266.5	FALSE	1	1	1	TRUE	negative emotions
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	cc73d019-f0fa-4786-827d-9dd15d323eb3	fear	-3		2023-12-10T10:37:05Z	170.3333	305.5	FALSE	1	1	1	TRUE	negative emotions_negative
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	89cc0b47-c274-41a4-8cda-841f35e45eb6	anger	-3		2023-12-10T10:37:39Z	171.3333	235.5	FALSE	1	1	1	TRUE	negative emotions_negative
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	7ace5726-a803-42f6-bceb-c035bfe4c9b6	sadness	-3		2023-12-10T10:38:07Z	254.3333	203.5	FALSE	1	1	1	TRUE	negative emotions_negative
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	f7e8f6cf-6d27-4f5d-8d7d-00cd99564221	helplessness	-3		2023-12-10T10:38:48Z	337.3333	171.5	FALSE	1	1	1	TRUE	negative emotions_negative
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	20bad198-1812-4acb-9239-1f7d6d3e92b6	positive emotions	3		2023-12-10T10:39:28Z	1246.3333	717.5	FALSE	1	1	1	TRUE	positive emotions
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	8d0169b3-8627-4e74-b9c7-671d8ced024a	hope	3		2023-12-10T10:39:48Z	1229.3333	470.5	FALSE	1	1	1	TRUE	positive emotions_positive
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	f1b54734-9d63-41bf-8d35-ac7795ec5228	confidence	3		2023-12-10T10:40:19Z	1142.3333	510.5	FALSE	1	1	1	TRUE	positive emotions_positive
ac65f89b-77aa-4a16-9186-0ce6d4964205	noID	8eeaa809-5d05-455f-b58f-0b243547cbe3	commitment	3		2023-12-10T10:40:36Z	1143.3333	587.5	FALSE	1	1	1	TRUE	global responsibility_positive
