CAM	participantCAM	id	date	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	0549f7cc-0c94-4b2e-8e44-22ccb8d60f8c	1667303273649	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	100d925c-cbb4-40fe-9d5a-471845e6f47d	9	0	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	535079e3-d486-452c-b71d-a018f633c6c7	1667303486858	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	18aa5b86-276a-4ad6-ab55-46686eef78c3	9	0	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	8c4efa01-4785-4c68-bf08-72fbb0dd7b00	1667303569633	100d925c-cbb4-40fe-9d5a-471845e6f47d	081ac3ee-584d-47f1-a96a-4abee6972024	6	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	9ca78496-5c31-41b8-9cc2-e99141e16d1a	1667303721074	18aa5b86-276a-4ad6-ab55-46686eef78c3	fc1a54fd-3a55-4369-ab30-8f1fbb70d171	3	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	cb52cc94-9f8f-4969-80f3-dd2d9edf7080	1667303780698	a2a4b68f-7bd2-4d31-817c-3be817178c40	fc1a54fd-3a55-4369-ab30-8f1fbb70d171	9	0	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	a67a0a11-b2f9-4adc-b95d-a2dd75cd2e24	1667303859505	eb687a50-1195-488d-8017-f8dd4359278b	a2a4b68f-7bd2-4d31-817c-3be817178c40	6	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	19784e69-f231-4bd9-855a-2f864db017ac	1667303908754	3dfcd9d5-6871-48ad-8d54-2a95fc4b6270	a2a4b68f-7bd2-4d31-817c-3be817178c40	6	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	fbb09586-5231-4da4-94f7-1c9521e4d56e	1667303946618	99200d5f-c801-4d7e-9aaa-c6d47796ab52	a2a4b68f-7bd2-4d31-817c-3be817178c40	6	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	ec6ff457-1be4-4ad9-875d-740cf4dd78e3	1667303976826	8b2a50da-58e1-45b9-b479-501bbfbac9d8	eb687a50-1195-488d-8017-f8dd4359278b	6	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	f4459bf3-6097-4fcb-951b-4446ea85f9b1	1667304085953	fe0f0793-a02d-4d42-aa8e-7a85297f1ccc	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	3	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	68eb42ab-58b4-404c-bed7-28b9a6149ea6	1667304146585	fe0f0793-a02d-4d42-aa8e-7a85297f1ccc	5b128333-2222-4bd2-b356-f03c58d317e6	6	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	fab97d65-c00f-423d-a01c-cd76368548bc	1667304160863	a2a4b68f-7bd2-4d31-817c-3be817178c40	5b128333-2222-4bd2-b356-f03c58d317e6	3	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	9a2546db-e89d-46da-8fc4-fd6ed983fe74	1667304245425	519c313c-9a14-4577-a62b-796cd7fb9999	1c4367a0-1032-49cc-9754-6a70f5c5db25	9	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	44c4ad8a-8716-4cd6-98c8-f26c9b20d6c8	1667304275206	4d5958b0-6455-41a0-b16a-cb5d9aace7aa	519c313c-9a14-4577-a62b-796cd7fb9999	9	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	9a69688f-2f53-431c-a706-0bda68c9eaa3	1667304338112	3253e8f8-6e0c-4410-a76b-87cd97a866d0	519c313c-9a14-4577-a62b-796cd7fb9999	3	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	9f2643ea-e937-4b1b-a29b-93437aeaebd4	1667304384846	c95688f9-8fe4-4df6-98b0-22e1a557582d	3253e8f8-6e0c-4410-a76b-87cd97a866d0	3	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	1f91ad44-401c-4330-8f27-b219bcc8d616	1667304408944	ed6c4a94-55f9-4ef4-9ea2-75f2b2b2dda0	c95688f9-8fe4-4df6-98b0-22e1a557582d	9	1	0	1	TRUE
