CAM.x	participantCAM.x	id	text	value	comment	date.x	x_pos	y_pos	predefinedConcept	isDraggable	isDeletable.x	isTextChangeable	isActive.x	CAM.y	participantCAM.y	id.y	date.y	idending	intensity	agreement	isBidirectional	isDeletable.y	isActive.y
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	acceptability of SAI	0		2022-11-01T11:45:19Z	650	400	TRUE	0	0	0	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	f4459bf3-6097-4fcb-951b-4446ea85f9b1	2022-11-01T12:01:25Z	fe0f0793-a02d-4d42-aa8e-7a85297f1ccc	3	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	acceptability of SAI	0		2022-11-01T11:45:19Z	650	400	TRUE	0	0	0	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	1f578324-acbe-4e04-b0a5-0d69effb8aca	2022-11-01T12:10:08Z	4a38d0e3-71ee-47fc-b6df-76636ece4e47	3	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	acceptability of SAI	0		2022-11-01T11:45:19Z	650	400	TRUE	0	0	0	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	06d99485-f8c6-4f95-8679-7f31cadf3076	2022-11-01T12:12:04Z	19082d8e-b87c-46a8-b1eb-73032d8db176	3	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	4a38d0e3-71ee-47fc-b6df-76636ece4e47	perceived risks	0		2022-11-01T11:45:19Z	483	325	TRUE	1	1	0	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	566e5180-3184-42b8-b52e-2f4b16864d7d	2022-11-01T12:10:16Z	1c4367a0-1032-49cc-9754-6a70f5c5db25	3	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	19082d8e-b87c-46a8-b1eb-73032d8db176	perceived benefits	0		2022-11-01T11:45:19Z	597	221	TRUE	1	1	0	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	09673f53-562a-42d9-91c9-aec6fc938ae5	2022-11-01T12:12:31Z	08b20de3-c01e-45f9-8b06-3ee756b8a48e	9	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	18aa5b86-276a-4ad6-ab55-46686eef78c3	trust in policitical institutions	-3	Potential risk of global conflict	2022-11-01T11:45:19Z	649	530	TRUE	1	1	0	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	535079e3-d486-452c-b71d-a018f633c6c7	2022-11-01T11:51:26Z	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	9	0	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	18aa5b86-276a-4ad6-ab55-46686eef78c3	trust in policitical institutions	-3	Potential risk of global conflict	2022-11-01T11:45:19Z	649	530	TRUE	1	1	0	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	19a5ed8f-c93d-449c-90a6-5664825926ea	2022-11-01T12:10:52Z	46ffc43a-4427-4f07-aeee-355377cd7f10	3	1	0	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	100d925c-cbb4-40fe-9d5a-471845e6f47d	Effect on Oceans	-2	Greenhouse gases compared to plastic pollution	2022-11-01T11:45:58Z	781	292	FALSE	1	1	1	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	0549f7cc-0c94-4b2e-8e44-22ccb8d60f8c	2022-11-01T11:47:53Z	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	9	0	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	081ac3ee-584d-47f1-a96a-4abee6972024	Plastic Pollution	2	lead to changes in plastic usage	2022-11-01T11:52:04Z	784	166	FALSE	1	1	1	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	8c4efa01-4785-4c68-bf08-72fbb0dd7b00	2022-11-01T11:52:49Z	100d925c-cbb4-40fe-9d5a-471845e6f47d	6	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	fc1a54fd-3a55-4369-ab30-8f1fbb70d171	Cost of SAI	-1	Who funds the cost	2022-11-01T11:54:07Z	789	621	FALSE	1	1	1	TRUE	01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	9ca78496-5c31-41b8-9cc2-e99141e16d1a	2022-11-01T11:55:21Z	18aa5b86-276a-4ad6-ab55-46686eef78c3	3	1	1	1	TRUE
