CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	predefinedConcept	isDraggable	isDeletable	isTextChangeable	isActive
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	11be06e4-ddbc-42ad-acba-fce7bec1dc7f	acceptability of SAI	0		2022-11-01T11:45:19Z	650	400	TRUE	0	0	0	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	4a38d0e3-71ee-47fc-b6df-76636ece4e47	perceived risks	0		2022-11-01T11:45:19Z	483	325	TRUE	1	1	0	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	19082d8e-b87c-46a8-b1eb-73032d8db176	perceived benefits	0		2022-11-01T11:45:19Z	597	221	TRUE	1	1	0	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	18aa5b86-276a-4ad6-ab55-46686eef78c3	trust in policitical institutions	-3	Potential risk of global conflict	2022-11-01T11:45:19Z	649	530	TRUE	1	1	0	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	100d925c-cbb4-40fe-9d5a-471845e6f47d	Effect on Oceans	-2	Greenhouse gases compared to plastic pollution	2022-11-01T11:45:58Z	781	292	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	081ac3ee-584d-47f1-a96a-4abee6972024	Plastic Pollution	2	lead to changes in plastic usage	2022-11-01T11:52:04Z	784	166	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	fc1a54fd-3a55-4369-ab30-8f1fbb70d171	Cost of SAI	-1	Who funds the cost	2022-11-01T11:54:07Z	789	621	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	a2a4b68f-7bd2-4d31-817c-3be817178c40	More taxes	-3	compared to current	2022-11-01T11:55:48Z	999	529	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	eb687a50-1195-488d-8017-f8dd4359278b	Poverty	-2		2022-11-01T11:56:56Z	1120	429	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	3dfcd9d5-6871-48ad-8d54-2a95fc4b6270	Starvation	-2		2022-11-01T11:57:56Z	1148	561	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	99200d5f-c801-4d7e-9aaa-c6d47796ab52	Increase in deaths	-2		2022-11-01T11:58:43Z	1121	682	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	8b2a50da-58e1-45b9-b479-501bbfbac9d8	Increase in crime	-2		2022-11-01T11:59:19Z	1164	296	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	fe0f0793-a02d-4d42-aa8e-7a85297f1ccc	Reduction Fossil Fuels	2		2022-11-01T12:00:46Z	824	455	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	5b128333-2222-4bd2-b356-f03c58d317e6	Cost of living	-1	compared to when fossil fuels are used	2022-11-01T12:01:35Z	960	391	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	1c4367a0-1032-49cc-9754-6a70f5c5db25	Side Effects	-2		2022-11-01T12:03:23Z	452	445	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	519c313c-9a14-4577-a62b-796cd7fb9999	Potential Acid Rain	-3		2022-11-01T12:03:50Z	429	565	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	4d5958b0-6455-41a0-b16a-cb5d9aace7aa	Death of Wildlife	-3		2022-11-01T12:04:12Z	545	669	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	3253e8f8-6e0c-4410-a76b-87cd97a866d0	Farm land	0	use of farming	2022-11-01T12:04:53Z	251	624	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	c95688f9-8fe4-4df6-98b0-22e1a557582d	Inability to grow	-3		2022-11-01T12:05:54Z	104	537	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	ed6c4a94-55f9-4ef4-9ea2-75f2b2b2dda0	Mass Starvation	-3		2022-11-01T12:06:35Z	221	425	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	0a7359c2-4f97-4878-9143-5651ac775c4d	Mass fatalities	-3		2022-11-01T12:06:54Z	82	386	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	22ae7431-7509-46e0-91d3-e13f3ef8815f	Air Pollution	-2		2022-11-01T12:07:48Z	280	284	FALSE	1	1	1	TRUE
01ec8ab0-7648-4c48-96f9-b27cfd90c8fc	5d7ebf9e93902b0001965912	563bd838-b3ca-4587-a273-0e64afa5985b	Unbreathable Air	-1		2022-11-01T12:08:41Z	152	194	FALSE	1	1	1	TRUE
