time	searchRound	stringDistance	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	subordinate_ambivalent	N_ambivalent
2022-11-04 15:59:44	1	2	side effects		0	NA	NA	side effects // Side affects // Side effects // Side Effects	7	-2.86	0.38	side effects	1		0
2022-11-04 15:59:50	2	2	acid rain		0	NA	NA	Potential acid rain // Potential Acid Rain	2	-3	0		0		0
2022-11-04 15:59:52	3	2	air pollution		0	NA	NA	air pollution // Air Pollution	3	-2.33	0.58		0		0
2022-11-04 16:00:06	4	2	positive feelings	positive feelings // Positive Feelings	40	2.08	0.89		0	NA	NA	positive feelings	11	positive feelings	2
2022-11-04 16:02:06	5	2	acid rain		0	NA	NA	acid rain // Acid rain // Acid Rain // acid rain? // Acid rain? // acidic rain	27	-2.63	0.49		0		0
2022-11-04 16:02:12	6	2	save animals	save animals // Saves animals	2	3	0		0	NA	NA		0		0
2022-11-04 16:02:16	7	2	conflict		0	NA	NA	conflict // Conflict // Conflict? // conflicts	5	-2.8	0.45		0		0
2022-11-04 16:02:22	8	2	expensive		0	NA	NA	expensive // Expensive	4	-2	0		0		0
2022-11-04 16:02:28	9	2	research	research	1	3	NA	Research	1	-2	NA		0	research	1
2022-11-04 16:02:32	10	2	treats symptoms		0	NA	NA	treats symptoms // Treats Symptoms	2	-2	0		0		0
2022-11-04 16:02:38	11	2	Will it work?	Will it work?	1	1	NA		0	NA	NA		0	will it work // Will it work?	2
2022-11-04 16:02:43	12	2	low cost	low cost // Low cost // low costs // Low costs // lower costs	12	2.25	0.75		0	NA	NA		0		0
2022-11-04 16:02:56	13	2	long term commitment		0	NA	NA	long term commitment // long term committment // longterm committment	4	-1.25	0.5		0		0
2022-11-04 16:03:01	14	2	temperature reduction	temperature reductions // Temperature reduction	2	3	0		0	NA	NA		0		0
2022-11-04 16:03:06	15	2	emergency solution		0	NA	NA	emergency solution	1	-1	NA		0	emergency solution // Emergency solution	2
2022-11-04 16:03:26	16	2	side effect		0	NA	NA		0	NA	NA	aside effects	1		0
2022-11-04 16:03:45	17	2	change lifestyle		0	NA	NA		0	NA	NA	Change lifestyle	1	change lifestyles	1
2022-11-04 16:03:49	18	2	untested		0	NA	NA	untested // Untested	3	-2	1		0	untested	1
2022-11-04 16:03:55	19	2	social conflicts		0	NA	NA	social conflicts // Social conflicts // Social Conflicts	3	-2	1		0		0
2022-11-04 16:06:00	20	2	effective technique	Very effective Technique // Very Effective Technique	2	3	0		0	NA	NA		0		0
2022-11-04 16:06:11	21	2	side effects		0	NA	NA	Potential Side effects // Potential Side Effects	2	-1.5	0.71		0		0
2022-11-04 16:06:31	22	2	political unrest		0	NA	NA	political unrest // Political unrest	3	-2.67	0.58		0		0
2022-11-04 16:11:17	23	2	cost	Cost	5	2.4	0.89	cost // Cost	3	-1.67	0.58	Cost	1	cost // Cost	3
2022-11-04 16:11:24	24	2	long term commitment		0	NA	NA	Long term commitment	1	-2	NA		0		0
2022-11-04 16:11:27	25	2	buys time	buys time // Buys time	6	1.33	0.82		0	NA	NA		0		0
2022-11-04 16:11:32	26	2	financial implications		0	NA	NA	financial implications // Financial implications	2	-1.5	0.71		0		0
2022-11-04 16:11:35	27	2	low Cost	Low Cost	2	2.5	0.71		0	NA	NA		0		0
2022-11-04 16:11:42	28	2	long term		0	NA	NA	Long term // Long Term	3	-2.33	1.15		0		0
2022-11-04 16:11:44	29	2	quick results	quick results // Quick results	3	2	0		0	NA	NA		0		0
2022-11-04 16:11:46	30	2	political conflict		0	NA	NA	political conflict // political conflicts // Political conflicts	4	-2.25	0.96		0		0
2022-11-04 16:11:49	31	2	acidity of ocean		0	NA	NA	acidity of ocean	1	-3	NA		0	Acidity of oceans	1
2022-11-04 16:12:06	32	2	easy	easy // Ease // Easy	3	2.33	1.15		0	NA	NA		0		0
2022-11-04 16:12:10	33	2	too late		0	NA	NA	Too late // Too late?	2	-3	0		0	Too late?	1
2022-11-04 16:12:16	34	2	unknown		0	NA	NA	Unknown // Unkown	3	-2.33	0.58		0		0
2022-11-04 16:12:19	35	2	hope	hope // Hope	4	2	0.82		0	NA	NA		0		0
2022-11-04 16:12:22	36	2	corruption		0	NA	NA	corruption // Corruption	2	-3	0		0		0
2022-11-04 16:12:24	37	2	who pays		0	NA	NA	who pays // who pays?	2	-2	0	Who pays?	1	who pays	1
2022-11-04 16:12:28	38	2	reduce global warming	reduce global warming // Reduce global warming // Reduces global warming	3	3	0		0	NA	NA		0		0
2022-11-04 16:12:31	39	2	health risk		0	NA	NA	health risk // health risks // Health Risks	3	-2.33	1.15		0		0
2022-11-04 16:12:34	40	2	inherent cause		0	NA	NA	inherent cause // inherent causes	2	-3	0		0		0
2022-11-04 16:12:43	41	2	political conflicts		0	NA	NA	political social conflicts // Political social conflicts	2	-2.5	0.71		0		0
2022-11-04 16:12:46	42	2	unknown consequences		0	NA	NA	unknown consequences // Unknown consequences // Unknown Consequences	3	-2.67	0.58		0		0
2022-11-04 16:12:48	43	2	global warming	global warming	1	2	NA	Global warming	1	-3	NA		0		0
2022-11-04 16:12:51	44	2	quick to deploy	quick to deploy // Quick to deploy	2	3	0		0	NA	NA		0		0
2022-11-04 16:12:55	45	2	solar energy	Solar energy // Solar Energy	2	2.5	0.71	Solar Energy	1	-1	NA		0		0
2022-11-04 16:12:58	46	2	interfering with nature		0	NA	NA	interfering with nature // Interfering with nature	2	-2	0		0		0
2022-11-04 16:13:01	47	2	regulation	Regulation	1	1	NA	regulation	1	-1	NA		0		0
2022-11-04 16:13:11	48	2	long term commitment		0	NA	NA	Long Term Commitment	1	-3	NA		0		0
2022-11-04 16:13:14	49	2	environmental damage		0	NA	NA	environmental damage // Environmental damage	2	-3	0		0		0
2022-11-04 16:13:16	50	2	affordable	affordable // Affordable	2	2.5	0.71		0	NA	NA		0		0
2022-11-04 16:13:18	51	2	ocean acidity		0	NA	NA	ocean acidity // Ocean Acidity	2	-1.5	0.71		0		0
