Words	raw	percent	mean_valence	sd_valence	mean_degree	sd_degree
???	1	1.28	0	NA	3	NA
3rd World Countrys	1	1.28	0	NA	2	NA
A new idea	1	1.28	1	NA	1	NA
A viable solution	1	1.28	3	NA	6	NA
abuse of power	1	1.28	-3	NA	4	NA
acceptability of SAI	78	100	0.01282051282051282	0.496575016071838	8.741379310344827	6.66375465742109
Acceptance	1	1.28	-1	NA	3	NA
acceptance in society	1	1.28	0	NA	2	NA
Accountabilty	1	1.28	-2	NA	1	NA
accountable for disaster	1	1.28	-1	NA	1	NA
acid rain	12	15.38	-2.4166666666666665	0.514928650544437	1.9166666666666667	0.996204919895622
Acid rain	7	8.97	-2.7142857142857144	0.487950036474267	7.285714285714286	8.09761869758194
Acid Rain	3	3.85	-3	0	3	3.46410161513775
Acid rain increase	1	1.28	-3	NA	1	NA
Acid Rain possibility	1	1.28	-3	NA	1	NA
acid rain?	1	1.28	-3	NA	2	NA
Acid rain?	1	1.28	-2	NA	1	NA
acid rainfall	1	1.28	-3	NA	4	NA
acidic rain	1	1.28	-3	NA	1	NA
acidity in ocean	1	1.28	-2	NA	2	NA
acidity ocean stay	1	1.28	-3	NA	1	NA
acidity of ocean	1	1.28	-3	NA	4	NA
Acidity of oceans	1	1.28	0	NA	23	NA
Action being taken	1	1.28	2	NA	1	NA
Action over inaction	1	1.28	3	NA	5	NA
Actual benefits	1	1.28	3	NA	6	NA
actual risks	1	1.28	-3	NA	4	NA
Address concerns	1	1.28	3	NA	2	NA
Advances in technology	1	1.28	1	NA	6	NA
affect sollar power	1	1.28	-3	NA	1	NA
affects whole earth	1	1.28	-2	NA	2	NA
affects whole world	1	1.28	-3	NA	2	NA
affordable	1	1.28	2	NA	1	NA
Affordable	1	1.28	3	NA	6	NA
agreement general population	1	1.28	0	NA	3	NA
Agricultural impact	1	1.28	-1	NA	7	NA
air pollution	1	1.28	-3	NA	1	NA
Air Pollution	2	2.56	-2	0	3	1.4142135623731
airplanes	1	1.28	-3	NA	2	NA
Airspace Disagreement	1	1.28	-3	NA	1	NA
Allow it	1	1.28	-2	NA	2	NA
Allows time	1	1.28	1	NA	2	NA
Alterior Motives	1	1.28	-3	NA	1	NA
alternative solutions	1	1.28	0	NA	3	NA
alters temperature fast	1	1.28	3	NA	5	NA
Animal extinction	1	1.28	-2	NA	2	NA
Animals Dieing	1	1.28	-3	NA	1	NA
Aquatic life endangered	1	1.28	-3	NA	1	NA
aside effects	1	1.28	0	NA	1	NA
assessment team	1	1.28	0	NA	4	NA
atmosphere	1	1.28	-1	NA	1	NA
available technology	1	1.28	2	NA	1	NA
Avoid climate migration	1	1.28	3	NA	1	NA
Avoid sea rising	1	1.28	3	NA	4	NA
avoids root problem	1	1.28	-2	NA	5	NA
Backlash	1	1.28	-3	NA	2	NA
Backup	1	1.28	0	NA	2	NA
bad habit reinforcement	1	1.28	-2	NA	3	NA
Bad outcomes	1	1.28	-2	NA	12	NA
Bandaid	1	1.28	0	NA	3	NA
Behaviours must change	1	1.28	-1	NA	26	NA
Benefit	1	1.28	3	NA	6	NA
Benefits	1	1.28	0	NA	6	NA
benefits start quickly	1	1.28	2	NA	2	NA
benefits take time	1	1.28	-1	NA	2	NA
Benefits to groups	1	1.28	3	NA	1	NA
Better alternative options	1	1.28	3	NA	1	NA
better available methods?	1	1.28	0	NA	3	NA
Better EcoSystem	1	1.28	1	NA	3	NA
better energy education	1	1.28	3	NA	8	NA
better future	1	1.28	2	NA	3	NA
better harvests	1	1.28	2	NA	2	NA
better options	1	1.28	3	NA	2	NA
Better Tech	1	1.28	-2	NA	1	NA
better understanding	1	1.28	0	NA	4	NA
Beyond hope	1	1.28	-2	NA	1	NA
biodiversity protected	1	1.28	3	NA	2	NA
Bring Countries Together	1	1.28	2	NA	6	NA
Brings Hope	1	1.28	3	NA	2	NA
Broken Promises	1	1.28	-3	NA	1	NA
Build new industries	1	1.28	3	NA	2	NA
business	1	1.28	-1	NA	2	NA
Buy more time	1	1.28	1	NA	1	NA
buys time	5	6.41	1	0	1	0
Buys time	1	1.28	3	NA	2	NA
Can implement worldwide	1	1.28	3	NA	2	NA
can never stop	1	1.28	-2	NA	3	NA
can start immediately	1	1.28	1	NA	2	NA
can use cars	1	1.28	1	NA	1	NA
can we influence?	1	1.28	0	NA	1	NA
cancer	1	1.28	-3	NA	1	NA
carcinogenic	1	1.28	-3	NA	3	NA
carrying on regardless	1	1.28	-3	NA	5	NA
cause	1	1.28	0	NA	2	NA
cause acid rain?	1	1.28	-3	NA	5	NA
Cause more damage?	1	1.28	0	NA	5	NA
Cause other problems	1	1.28	-3	NA	2	NA
Cause War?	1	1.28	-3	NA	3	NA
Centuries or decades	1	1.28	-3	NA	3	NA
Change lifestyle	1	1.28	0	NA	2	NA
change lifestyles	1	1.28	0	NA	2	NA
Changing governments	1	1.28	-1	NA	1	NA
Changing lifestyles	1	1.28	-3	NA	1	NA
cheap	1	1.28	3	NA	2	NA
Cheaper than alternatives	1	1.28	1	NA	1	NA
Chemical manufacturing	1	1.28	2	NA	1	NA
Chemical Usage	1	1.28	-1	NA	2	NA
chronic diseases	1	1.28	-3	NA	1	NA
civil unrest	1	1.28	-3	NA	5	NA
Climate change	1	1.28	-1	NA	5	NA
climate change continuation	1	1.28	-3	NA	2	NA
climate change denial	1	1.28	0	NA	3	NA
Climate change denial	1	1.28	-2	NA	2	NA
Climate change reverse	1	1.28	0	NA	4	NA
Climate poverty	1	1.28	-2	NA	2	NA
climate problems	1	1.28	-3	NA	1	NA
Climate solution	1	1.28	1	NA	6	NA
Co-operation?	1	1.28	1	NA	6	NA
Co-ordination between countries	1	1.28	-3	NA	2	NA
CO2 concentration unaffected	1	1.28	-2	NA	1	NA
CO2 emissions continue	1	1.28	-2	NA	2	NA
CO2 Levels	1	1.28	-2	NA	1	NA
CO2 not reduced	1	1.28	0	NA	2	NA
CO2 rises still	1	1.28	-2	NA	3	NA
coastal communities protected	1	1.28	2	NA	3	NA
collaboration with industries	1	1.28	0	NA	2	NA
Coller planet	1	1.28	0	NA	3	NA
Comes with risks	1	1.28	-3	NA	2	NA
Communication	1	1.28	-2	NA	2	NA
community tax increase	1	1.28	-3	NA	3	NA
Comparatively low cost	1	1.28	3	NA	1	NA
conflict	1	1.28	-3	NA	2	NA
Conflict	2	2.56	-3	0	3.5	2.12132034355964
Conflict across globe	1	1.28	0	NA	9	NA
conflict around costings	1	1.28	-2	NA	2	NA
conflict between countries	1	1.28	-2	NA	1	NA
conflict in opinions	1	1.28	-2	NA	1	NA
Conflict?	1	1.28	-2	NA	6	NA
conflicting interests	1	1.28	-2	NA	5	NA
conflicts	1	1.28	-3	NA	2	NA
conflicts of interest	1	1.28	-2	NA	2	NA
conspiracy theories	2	2.56	-1.5	0.707106781186548	3.5	2.12132034355964
Conspiracy theories	2	2.56	-2	0	3.5	0.707106781186548
constant briefing	1	1.28	0	NA	2	NA
continuous	1	1.28	-3	NA	3	NA
continuous applications	1	1.28	-1	NA	1	NA
contrail conspiracy	1	1.28	-3	NA	2	NA
Cool the planet	1	1.28	0	NA	2	NA
Cooler environment	1	1.28	2	NA	4	NA
Cooler planet	1	1.28	3	NA	3	NA
cooling earth	1	1.28	2	NA	1	NA
Cooling effect	1	1.28	1	NA	4	NA
cools temperature	1	1.28	3	NA	1	NA
Cools the Earth	1	1.28	3	NA	1	NA
Cools the planet	1	1.28	2	NA	3	NA
Cooperation Needed	1	1.28	0	NA	2	NA
Coral	1	1.28	-2	NA	23	NA
coral reef damage	1	1.28	-2	NA	1	NA
coral reef destruction	2	2.56	-3	0	2	1.4142135623731
coral reef protection	1	1.28	3	NA	2	NA
Coral reefs	1	1.28	-3	NA	6	NA
corruption	1	1.28	-3	NA	1	NA
Corruption	1	1.28	-3	NA	1	NA
cost	3	3.85	-1	1	2	1
Cost	9	11.54	1.1111111111111112	1.76383420737639	3.4444444444444446	2.185812841434
cost-effective method	1	1.28	3	NA	3	NA
Cost Effective	1	1.28	2	NA	2	NA
Cost Effective Transport	1	1.28	3	NA	2	NA
Cost of deployment	1	1.28	-2	NA	1	NA
Cost of intervention	1	1.28	0	NA	3	NA
Cost of living	1	1.28	-1	NA	4	NA
Cost of not	1	1.28	-2	NA	1	NA
Cost of Project	1	1.28	-2	NA	2	NA
Cost of SAI	1	1.28	-1	NA	3	NA
Cost to economy	1	1.28	0	NA	2	NA
Cost to humans	1	1.28	0	NA	2	NA
Cost to institutions	1	1.28	0	NA	2	NA
costings	1	1.28	0	NA	2	NA
could boost economies	1	1.28	2	NA	3	NA
Could bring unity	1	1.28	3	NA	4	NA
Could create employment	1	1.28	3	NA	2	NA
could create negativity	1	1.28	2	NA	1	NA
could fail	1	1.28	-3	NA	1	NA
could reduce temperature	1	1.28	3	NA	2	NA
could save planet	1	1.28	3	NA	3	NA
could use soon	1	1.28	2	NA	2	NA
could worsen it	1	1.28	-3	NA	2	NA
Counteacts warming	1	1.28	3	NA	1	NA
counteracting global warming	1	1.28	3	NA	1	NA
