CAM.x	participantCAM.x	id	text	value	comment	date	x_pos	y_pos	isDraggable	isDeletable.x	isTextChangeable	isActive.x	CAM.y	participantCAM.y	id.y	idending	intensity	agreement	isBidirectional	isDeletable.y	isActive.y
1530	ID1_1530	23842	Zeit	2	NA		60	362	NA	NA	NA	NA	1530	ID1_1530	22807	23812	6	1	0	NA	NA
1530	ID1_1530	23841	Komfort	3	NA		71	261	NA	NA	NA	NA	1530	ID1_1530	22806	23812	6	1	0	NA	NA
1530	ID1_1530	23840	Verspätungen	-3	NA	11:07:38	1139	310	NA	NA	NA	NA	1530	ID1_1530	22819	23838	6	0	0	NA	NA
1530	ID1_1530	23840	Verspätungen	-3	NA	11:07:38	1139	310	NA	NA	NA	NA	1530	ID1_1530	22818	23818	6	1	0	NA	NA
1530	ID1_1530	23838	Zeit	-2	NA	11:07:31	1072	146	NA	NA	NA	NA	1530	ID1_1530	22817	23818	6	1	0	NA	NA
1530	ID1_1530	23835	Feinstaub	-3	NA	11:07:05	463	552	NA	NA	NA	NA	1530	ID1_1530	22811	23832	6	1	0	NA	NA
1530	ID1_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	1530	ID1_1530	22814	23812	6	1	0	NA	NA
1530	ID1_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	1530	ID1_1530	22813	23818	6	1	0	NA	NA
1530	ID1_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	1530	ID1_1530	22812	23826	6	1	0	NA	NA
1530	ID1_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	1530	ID1_1530	22810	23824	6	1	0	NA	NA
1530	ID1_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	1530	ID1_1530	22816	23818	6	1	0	NA	NA
1530	ID1_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	1530	ID1_1530	22815	23812	6	1	0	NA	NA
1530	ID1_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	1530	ID1_1530	22804	23819	6	1	0	NA	NA
1530	ID1_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	1530	ID1_1530	22803	23827	6	1	0	NA	NA
1530	ID1_1530	23821	Verkehr	-2	NA	11:05:35	143	92	NA	NA	NA	NA	1530	ID1_1530	22805	23812	6	1	0	NA	NA
1530r	ID1t2_1530	23842	Zeit	2	NA		60	362	NA	NA	NA	NA	1530r	ID1t2_1530	22807	23812	6	1	0	NA	NA
1530r	ID1t2_1530	23841	Komfort	3	NA		71	261	NA	NA	NA	NA	1530r	ID1t2_1530	22806	23812	6	1	0	NA	NA
1530r	ID1t2_1530	23840	Verspätungen	-3	NA	11:07:38	1139	310	NA	NA	NA	NA	1530r	ID1t2_1530	22819	23838	6	0	0	NA	NA
1530r	ID1t2_1530	23840	Verspätungen	-3	NA	11:07:38	1139	310	NA	NA	NA	NA	1530r	ID1t2_1530	22818	23818	6	1	0	NA	NA
1530r	ID1t2_1530	23838	Zeit	-2	NA	11:07:31	1072	146	NA	NA	NA	NA	1530r	ID1t2_1530	22817	23818	6	1	0	NA	NA
1530r	ID1t2_1530	23835	Feinstaub	-3	NA	11:07:05	463	552	NA	NA	NA	NA	1530r	ID1t2_1530	22811	23832	6	1	0	NA	NA
1530r	ID1t2_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	1530r	ID1t2_1530	22814	23812	6	1	0	NA	NA
1530r	ID1t2_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	1530r	ID1t2_1530	22813	23818	6	1	0	NA	NA
1530r	ID1t2_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	1530r	ID1t2_1530	22812	23826	6	1	0	NA	NA
1530r	ID1t2_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	1530r	ID1t2_1530	22810	23824	6	1	0	NA	NA
1530r	ID1t2_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	1530r	ID1t2_1530	22816	23818	6	1	0	NA	NA
1530r	ID1t2_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	1530r	ID1t2_1530	22815	23812	6	1	0	NA	NA
1530r	ID1t2_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	1530r	ID1t2_1530	22804	23819	6	1	0	NA	NA
1530r	ID1t2_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	1530r	ID1t2_1530	22803	23827	6	1	0	NA	NA
1530r	ID1t2_1530	23821	Verkehr	-2	NA	11:05:35	143	92	NA	NA	NA	NA	1530r	ID1t2_1530	22805	23812	6	1	0	NA	NA
1529	ID3_1529	23875	Faulheit und Gewichtszunahme	-3	NA		245	513	NA	NA	NA	NA	1529	ID3_1529	22855	23856	6	0	0	NA	NA
1529	ID3_1529	23874	Tickets werden immer teurer	-3	NA		403	33	NA	NA	NA	NA	1529	ID3_1529	22851	23822	9	1	0	NA	NA
1529	ID3_1529	23874	Tickets werden immer teurer	-3	NA		403	33	NA	NA	NA	NA	1529	ID3_1529	22846	23851	9	0	0	NA	NA
1529	ID3_1529	23856	Bequemer, weil man den Wagen allein nutzt	3	NA		71	432	NA	NA	NA	NA	1529	ID3_1529	22854	23811	6	1	0	NA	NA
1529	ID3_1529	23854	Flexibel	3	NA		53	320	NA	NA	NA	NA	1529	ID3_1529	22840	23811	6	1	0	NA	NA
1529	ID3_1529	23851	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle	-3	NA		239	234	NA	NA	NA	NA	1529	ID3_1529	22856	23811	6	0	0	NA	NA
1529	ID3_1529	23851	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle	-3	NA		239	234	NA	NA	NA	NA	1529	ID3_1529	22841	23830	6	0	0	NA	NA
1529	ID3_1529	23845	Angst vor Gewalt in der Öffentlichkeit	-3	NA		890	418	NA	NA	NA	NA	1529	ID3_1529	22837	23833	9	1	0	NA	NA
1529	ID3_1529	23843	Angst vor Ansteckung	-3	NA		772	354	NA	NA	NA	NA	1529	ID3_1529	22835	23833	9	1	0	NA	NA
1529	ID3_1529	23836	Vorgegebene Zeiten	-3	NA		578	508	NA	NA	NA	NA	1529	ID3_1529	22838	23810	6	1	0	NA	NA
1529	ID3_1529	23833	Großer Kundenverkehrt	-3	NA		782	500	NA	NA	NA	NA	1529	ID3_1529	22839	23810	6	1	0	NA	NA
1529	ID3_1529	23830	Günstig als ein Auto zu versichern	3	NA	11:13:49	552	213	NA	NA	NA	NA	1529	ID3_1529	22823	23810	9	1	0	NA	NA
1529	ID3_1529	23811	Eigener Pkw	0	NA		273	345	NA	NA	NA	NA	1529	ID3_1529	22797	23810	6	0	0	NA	NA
1529	ID3_1529	23810	Öffentliche Verkehrsmittel	0	NA		574	346	NA	NA	NA	NA	1529	ID3_1529	22825	23846	9	1	0	NA	NA
1529	ID3_1529	23810	Öffentliche Verkehrsmittel	0	NA		574	346	NA	NA	NA	NA	1529	ID3_1529	22824	23830	6	1	1	NA	NA
