CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	isDraggable	isDeletable	isTextChangeable	isActive	text_summarized
1530	ID1_1530	23842	Zeit	2	NA		60	362	NA	NA	NA	NA	Zeit
1530	ID1_1530	23841	Komfort	3	NA		71	261	NA	NA	NA	NA	Komfort_positive
1530	ID1_1530	23840	Verspätungen	-3	NA	11:07:38	1139	310	NA	NA	NA	NA	Verspätung_negative
1530	ID1_1530	23838	Zeit	-2	NA	11:07:31	1072	146	NA	NA	NA	NA	Zeit
1530	ID1_1530	23835	Feinstaub	-3	NA	11:07:05	463	552	NA	NA	NA	NA	Feinstaub
1530	ID1_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	Umwelt
1530	ID1_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	Kosten_neutral
1530	ID1_1530	23827	Ticketkosten	-2	NA		816	34	NA	NA	NA	NA	Kosten_negative
1530	ID1_1530	23826	Verschmutzung	2	NA	11:06:52	863	516	NA	NA	NA	NA	Verschmutzung
1530	ID1_1530	23824	Abgase	-3	NA	11:06:59	376	466	NA	NA	NA	NA	Abgase_negative
1530	ID1_1530	23821	Verkehr	-2	NA	11:05:35	143	92	NA	NA	NA	NA	Verkehr
1530	ID1_1530	23819	Spritkosten	-1	NA	11:05:27	397	20	NA	NA	NA	NA	Spritkosten
1530	ID1_1530	23812	PKW	0	NA		374	282	NA	NA	NA	NA	Pkw_neutral
1530	ID1_1530	23818	Öffentliche Verkehrsmittel	0	NA		886	273	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1530r	ID1t2_1530	23842	Zeit	2	NA		60	362	NA	NA	NA	NA	Zeit
1530r	ID1t2_1530	23841	Komfort	3	NA		71	261	NA	NA	NA	NA	Komfort_positive
1530r	ID1t2_1530	23840	Verspätungen	-3	NA	11:07:38	1139	310	NA	NA	NA	NA	Verspätung_negative
1530r	ID1t2_1530	23838	Zeit	-2	NA	11:07:31	1072	146	NA	NA	NA	NA	Zeit
1530r	ID1t2_1530	23835	Feinstaub	-3	NA	11:07:05	463	552	NA	NA	NA	NA	Feinstaub
1530r	ID1t2_1530	23832	Umwelt	0	NA		634	414	NA	NA	NA	NA	Umwelt
1530r	ID1t2_1530	23829	Kosten	0	NA	11:08:27	633	162	NA	NA	NA	NA	Kosten_neutral
1530r	ID1t2_1530	23827	Ticketkosten	-2	NA		816	34	NA	NA	NA	NA	Kosten_negative
1530r	ID1t2_1530	23826	Verschmutzung	2	NA	11:06:52	863	516	NA	NA	NA	NA	Verschmutzung
1530r	ID1t2_1530	23824	Abgase	-3	NA	11:06:59	376	466	NA	NA	NA	NA	Abgase_negative
1530r	ID1t2_1530	23821	Verkehr	-2	NA	11:05:35	143	92	NA	NA	NA	NA	Verkehr
1530r	ID1t2_1530	23819	Spritkosten	-1	NA	11:05:27	397	20	NA	NA	NA	NA	Spritkosten
1530r	ID1t2_1530	23812	PKW	0	NA		374	282	NA	NA	NA	NA	Pkw_neutral
1530r	ID1t2_1530	23818	Öffentliche Verkehrsmittel	0	NA		886	273	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1529	ID3_1529	23875	Faulheit und Gewichtszunahme	-3	NA		245	513	NA	NA	NA	NA	Faulheit und Gewichtszunahme
1529	ID3_1529	23874	Tickets werden immer teurer	-3	NA		403	33	NA	NA	NA	NA	Tickets werden immer teurer
1529	ID3_1529	23856	Bequemer, weil man den Wagen allein nutzt	3	NA		71	432	NA	NA	NA	NA	Bequemer, weil man den Wagen allein nutzt
1529	ID3_1529	23854	Flexibel	3	NA		53	320	NA	NA	NA	NA	flexibel_positive
1529	ID3_1529	23851	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle	-3	NA		239	234	NA	NA	NA	NA	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle
1529	ID3_1529	23846	Kein Stau und meistens zuverlässig	3	NA	11:13:57	730	167	NA	NA	NA	NA	Kein Stau und meistens zuverlässig
1529	ID3_1529	23845	Angst vor Gewalt in der Öffentlichkeit	-3	NA		890	418	NA	NA	NA	NA	Angst vor Gewalt in der Öffentlichkeit
1529	ID3_1529	23843	Angst vor Ansteckung	-3	NA		772	354	NA	NA	NA	NA	Angst vor Ansteckung
1529	ID3_1529	23822	Umweltschutz	3	NA		557	120	NA	NA	NA	NA	Umweltschutz
1529	ID3_1529	23836	Vorgegebene Zeiten	-3	NA		578	508	NA	NA	NA	NA	Vorgegebene Zeiten
1529	ID3_1529	23833	Großer Kundenverkehrt	-3	NA		782	500	NA	NA	NA	NA	Großer Kundenverkehrt
1529	ID3_1529	23830	Günstig als ein Auto zu versichern	3	NA	11:13:49	552	213	NA	NA	NA	NA	Günstig als ein Auto zu versichern
1529	ID3_1529	23811	Eigener Pkw	0	NA		273	345	NA	NA	NA	NA	Eigener Pkw_neutral
1529	ID3_1529	23810	Öffentliche Verkehrsmittel	0	NA		574	346	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1535	ID3t2_1535	23920	Öffentliche Verkehrsmittel	0	NA		574	346	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1535	ID3t2_1535	23919	Eigener Pkw	0	NA		273	345	NA	NA	NA	NA	Eigener Pkw_neutral
1535	ID3t2_1535	23918	Günstig als ein Auto zu versichern	3	NA	11:13:49	552	213	NA	NA	NA	NA	Günstig als ein Auto zu versichern
1535	ID3t2_1535	23917	Großer Kundenverkehrt	-3	NA		782	500	NA	NA	NA	NA	Großer Kundenverkehrt
1535	ID3t2_1535	23916	Vorgegebene Zeiten	-3	NA		578	508	NA	NA	NA	NA	Vorgegebene Zeiten
1535	ID3t2_1535	23915	Umweltschutz	3	NA		557	120	NA	NA	NA	NA	Umweltschutz
1535	ID3t2_1535	23914	Angst vor Ansteckung	-3	NA		772	354	NA	NA	NA	NA	Angst vor Ansteckung
1535	ID3t2_1535	23913	Angst vor Gewalt in der Öffentlichkeit	-3	NA		890	418	NA	NA	NA	NA	Angst vor Gewalt in der Öffentlichkeit
1535	ID3t2_1535	23912	Kein Stau und meistens zuverlässig	3	NA	11:13:57	730	167	NA	NA	NA	NA	Kein Stau und meistens zuverlässig
1535	ID3t2_1535	23911	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle	-3	NA		239	234	NA	NA	NA	NA	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle
1535	ID3t2_1535	23910	Flexibel	3	NA		53	320	NA	NA	NA	NA	flexibel_positive
1535	ID3t2_1535	23909	Bequemer, weil man den Wagen allein nutzt	3	NA		71	432	NA	NA	NA	NA	Bequemer, weil man den Wagen allein nutzt
1535	ID3t2_1535	23907	Tickets werden immer teurer	-3	NA		403	33	NA	NA	NA	NA	Tickets werden immer teurer
1535	ID3t2_1535	23906	Faulheit und Gewichtszunahme	-3	NA		245	513	NA	NA	NA	NA	Faulheit und Gewichtszunahme
1532	ID4_1532	23862	Benzinkosten	-3	NA		54	415	NA	NA	NA	NA	Kosten_negative
1532	ID4_1532	23873	abhängig	-1	NA		617	555.533	NA	NA	NA	NA	Unabhängigkeit_negative
1532	ID4_1532	23872	weniger volle Straßen	3	NA		563	129.333	NA	NA	NA	NA	weniger volle Straßen
1532	ID4_1532	23871	umweltfreundlich	3	NA		792	350	NA	NA	NA	NA	umweltfreundlich_positive
1532	ID4_1532	23870	soziale Konkte	3	NA		410	455.933	NA	NA	NA	NA	sozialer Kontakt_positive
1532	ID4_1532	23869	nutzbare Fahrzeit	3	NA	11:14:32	747	448.267	NA	NA	NA	NA	nutzbare Fahrzeit
1532	ID4_1532	23867	Privatsphäre	2	NA		401	229	NA	NA	NA	NA	Privatsphäre
1532	ID4_1532	23866	Versicherungskosten	-3	NA		263	571	NA	NA	NA	NA	Kosten_negative
1532	ID4_1532	23864	teurer Anschaffungspreis	-3	NA	11:11:43	20	214	NA	NA	NA	NA	teurer Anschaffungspreis
1532	ID4_1532	23855	freie Zeiteinteilung	3	NA	11:09:46	122	115	NA	NA	NA	NA	freie Zeiteinteilung
1532	ID4_1532	23853	Komfort	2	NA		305	127	NA	NA	NA	NA	Komfort_positive
1532	ID4_1532	23850	Eigener Pkw	0	NA		273	345.6	NA	NA	NA	NA	Eigener Pkw_neutral
1532	ID4_1532	23849	Öffentliche Verkehrsmittel	0	NA		575	345.6	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1534	ID4t2_1534	23922	Transportmöglichkeit	1	NA	11:30:58	40	68.2	NA	NA	NA	NA	Transportmöglichkeit
1534	ID4t2_1534	23921	umweltschädlich	-3	NA	11:29:57	305	35	NA	NA	NA	NA	umweltbelastend_negative
1534	ID4t2_1534	23905	Öffentliche Verkehrsmittel	0	NA		575	345.6	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1534	ID4t2_1534	23904	Eigener Pkw	0	NA		273	346	NA	NA	NA	NA	Eigener Pkw_neutral
1534	ID4t2_1534	23903	Komfort	2	NA		385	149.6	NA	NA	NA	NA	Komfort_positive
1534	ID4t2_1534	23902	freie Zeiteinteilung	3	NA	11:09:46	204	117.2	NA	NA	NA	NA	freie Zeiteinteilung
1534	ID4t2_1534	23901	teurer Anschaffungspreis	-3	NA	11:11:43	20	185.2	NA	NA	NA	NA	teurer Anschaffungspreis
1534	ID4t2_1534	23900	Versicherungskosten	-3	NA		263	571	NA	NA	NA	NA	Kosten_negative
1534	ID4t2_1534	23899	Privatsphäre	2	NA		438	242.6	NA	NA	NA	NA	Privatsphäre
1534	ID4t2_1534	23897	nutzbare Fahrzeit	3	NA	11:14:32	747	448.267	NA	NA	NA	NA	nutzbare Fahrzeit
1534	ID4t2_1534	23896	soziale Konkte	3	NA		410	455.933	NA	NA	NA	NA	sozialer Kontakt_positive
1534	ID4t2_1534	23895	umweltfreundlich	3	NA		792	350	NA	NA	NA	NA	umweltfreundlich_positive
1534	ID4t2_1534	23894	weniger volle Straßen	3	NA		563	129.333	NA	NA	NA	NA	weniger volle Straßen
1534	ID4t2_1534	23893	abhängig	-1	NA		617	555.533	NA	NA	NA	NA	Unabhängigkeit_negative
1534	ID4t2_1534	23892	Benzinkosten	-3	NA		54	415	NA	NA	NA	NA	Kosten_negative
