CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	isDraggable	isDeletable	isTextChangeable	isActive
1530	ID1_1530	23842	Zeit	2	NA	NA	60	362	NA	NA	NA	NA
1530	ID1_1530	23841	Komfort_positive	3	NA	NA	71	261	NA	NA	NA	NA
1530	ID1_1530	23840	Verspätung_negative	-3	NA	11:07:38	1139	310	NA	NA	NA	NA
1530	ID1_1530	23838	Zeit	-2	NA	11:07:31	1072	146	NA	NA	NA	NA
1530	ID1_1530	23835	Feinstaub	-3	NA	11:07:05	463	552	NA	NA	NA	NA
1530	ID1_1530	23832	Umwelt	0	NA	NA	634	414	NA	NA	NA	NA
1530	ID1_1530	23829	Kosten_neutral	0	NA	11:08:27	633	162	NA	NA	NA	NA
1530	ID1_1530	23827	Kosten_negative	-2	NA	NA	816	34	NA	NA	NA	NA
1530	ID1_1530	23826	Verschmutzung	2	NA	11:06:52	863	516	NA	NA	NA	NA
1530	ID1_1530	23824	Abgase_negative	-3	NA	11:06:59	376	466	NA	NA	NA	NA
1530	ID1_1530	23821	Verkehr	-2	NA	11:05:35	143	92	NA	NA	NA	NA
1530	ID1_1530	23819	Spritkosten	-1	NA	11:05:27	397	20	NA	NA	NA	NA
1530	ID1_1530	23812	Pkw_neutral	0	NA	NA	374	282	NA	NA	NA	NA
1530	ID1_1530	23818	Öffentliche Verkehrsmittel_neutral	0	NA	NA	886	273	NA	NA	NA	NA
1530r	ID1t2_1530	23842	Zeit	2	NA	NA	60	362	NA	NA	NA	NA
1530r	ID1t2_1530	23841	Komfort_positive	3	NA	NA	71	261	NA	NA	NA	NA
1530r	ID1t2_1530	23840	Verspätung_negative	-3	NA	11:07:38	1139	310	NA	NA	NA	NA
1530r	ID1t2_1530	23838	Zeit	-2	NA	11:07:31	1072	146	NA	NA	NA	NA
1530r	ID1t2_1530	23835	Feinstaub	-3	NA	11:07:05	463	552	NA	NA	NA	NA
1530r	ID1t2_1530	23832	Umwelt	0	NA	NA	634	414	NA	NA	NA	NA
1530r	ID1t2_1530	23829	Kosten_neutral	0	NA	11:08:27	633	162	NA	NA	NA	NA
1530r	ID1t2_1530	23827	Kosten_negative	-2	NA	NA	816	34	NA	NA	NA	NA
1530r	ID1t2_1530	23826	Verschmutzung	2	NA	11:06:52	863	516	NA	NA	NA	NA
1530r	ID1t2_1530	23824	Abgase_negative	-3	NA	11:06:59	376	466	NA	NA	NA	NA
1530r	ID1t2_1530	23821	Verkehr	-2	NA	11:05:35	143	92	NA	NA	NA	NA
1530r	ID1t2_1530	23819	Spritkosten	-1	NA	11:05:27	397	20	NA	NA	NA	NA
1530r	ID1t2_1530	23812	Pkw_neutral	0	NA	NA	374	282	NA	NA	NA	NA
1530r	ID1t2_1530	23818	Öffentliche Verkehrsmittel_neutral	0	NA	NA	886	273	NA	NA	NA	NA
1529	ID3_1529	23875	Faulheit und Gewichtszunahme	-3	NA	NA	245	513	NA	NA	NA	NA
1529	ID3_1529	23874	Tickets werden immer teurer	-3	NA	NA	403	33	NA	NA	NA	NA
1529	ID3_1529	23856	Bequemer, weil man den Wagen allein nutzt	3	NA	NA	71	432	NA	NA	NA	NA
1529	ID3_1529	23854	flexibel_positive	3	NA	NA	53	320	NA	NA	NA	NA
1529	ID3_1529	23851	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle	-3	NA	NA	239	234	NA	NA	NA	NA
1529	ID3_1529	23846	Kein Stau und meistens zuverlässig	3	NA	11:13:57	730	167	NA	NA	NA	NA
1529	ID3_1529	23845	Angst vor Gewalt in der Öffentlichkeit	-3	NA	NA	890	418	NA	NA	NA	NA
1529	ID3_1529	23843	Angst vor Ansteckung	-3	NA	NA	772	354	NA	NA	NA	NA
1529	ID3_1529	23822	Umweltschutz	3	NA	NA	557	120	NA	NA	NA	NA
1529	ID3_1529	23836	Vorgegebene Zeiten	-3	NA	NA	578	508	NA	NA	NA	NA
1529	ID3_1529	23833	Großer Kundenverkehrt	-3	NA	NA	782	500	NA	NA	NA	NA
1529	ID3_1529	23830	Günstig als ein Auto zu versichern	3	NA	11:13:49	552	213	NA	NA	NA	NA
1529	ID3_1529	23811	Eigener Pkw_neutral	0	NA	NA	273	345	NA	NA	NA	NA
1529	ID3_1529	23810	Öffentliche Verkehrsmittel_neutral	0	NA	NA	574	346	NA	NA	NA	NA
1535	ID3t2_1535	23920	Öffentliche Verkehrsmittel_neutral	0	NA	NA	574	346	NA	NA	NA	NA
1535	ID3t2_1535	23919	Eigener Pkw_neutral	0	NA	NA	273	345	NA	NA	NA	NA
1535	ID3t2_1535	23918	Günstig als ein Auto zu versichern	3	NA	11:13:49	552	213	NA	NA	NA	NA
1535	ID3t2_1535	23917	Großer Kundenverkehrt	-3	NA	NA	782	500	NA	NA	NA	NA
1535	ID3t2_1535	23916	Vorgegebene Zeiten	-3	NA	NA	578	508	NA	NA	NA	NA
1535	ID3t2_1535	23915	Umweltschutz	3	NA	NA	557	120	NA	NA	NA	NA
1535	ID3t2_1535	23914	Angst vor Ansteckung	-3	NA	NA	772	354	NA	NA	NA	NA
1535	ID3t2_1535	23913	Angst vor Gewalt in der Öffentlichkeit	-3	NA	NA	890	418	NA	NA	NA	NA
1535	ID3t2_1535	23912	Kein Stau und meistens zuverlässig	3	NA	11:13:57	730	167	NA	NA	NA	NA
1535	ID3t2_1535	23911	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle	-3	NA	NA	239	234	NA	NA	NA	NA
1535	ID3t2_1535	23910	flexibel_positive	3	NA	NA	53	320	NA	NA	NA	NA
1535	ID3t2_1535	23909	Bequemer, weil man den Wagen allein nutzt	3	NA	NA	71	432	NA	NA	NA	NA
1535	ID3t2_1535	23907	Tickets werden immer teurer	-3	NA	NA	403	33	NA	NA	NA	NA
1535	ID3t2_1535	23906	Faulheit und Gewichtszunahme	-3	NA	NA	245	513	NA	NA	NA	NA
1532	ID4_1532	23862	Kosten_negative	-3	NA	NA	54	415	NA	NA	NA	NA
1532	ID4_1532	23873	Unabhängigkeit_negative	-1	NA	NA	617	555.533	NA	NA	NA	NA
1532	ID4_1532	23872	weniger volle Straßen	3	NA	NA	563	129.333	NA	NA	NA	NA
1532	ID4_1532	23871	umweltfreundlich_positive	3	NA	NA	792	350	NA	NA	NA	NA
1532	ID4_1532	23870	sozialer Kontakt_positive	3	NA	NA	410	455.933	NA	NA	NA	NA
1532	ID4_1532	23869	nutzbare Fahrzeit	3	NA	11:14:32	747	448.267	NA	NA	NA	NA
1532	ID4_1532	23867	Privatsphäre	2	NA	NA	401	229	NA	NA	NA	NA
1532	ID4_1532	23866	Kosten_negative	-3	NA	NA	263	571	NA	NA	NA	NA
1532	ID4_1532	23864	teurer Anschaffungspreis	-3	NA	11:11:43	20	214	NA	NA	NA	NA
1532	ID4_1532	23855	freie Zeiteinteilung	3	NA	11:09:46	122	115	NA	NA	NA	NA
1532	ID4_1532	23853	Komfort_positive	2	NA	NA	305	127	NA	NA	NA	NA
1532	ID4_1532	23850	Eigener Pkw_neutral	0	NA	NA	273	345.6	NA	NA	NA	NA
1532	ID4_1532	23849	Öffentliche Verkehrsmittel_neutral	0	NA	NA	575	345.6	NA	NA	NA	NA
1534	ID4t2_1534	23922	Transportmöglichkeit	1	NA	11:30:58	40	68.2	NA	NA	NA	NA
1534	ID4t2_1534	23921	umweltbelastend_negative	-3	NA	11:29:57	305	35	NA	NA	NA	NA
1534	ID4t2_1534	23905	Öffentliche Verkehrsmittel_neutral	0	NA	NA	575	345.6	NA	NA	NA	NA
1534	ID4t2_1534	23904	Eigener Pkw_neutral	0	NA	NA	273	346	NA	NA	NA	NA
1534	ID4t2_1534	23903	Komfort_positive	2	NA	NA	385	149.6	NA	NA	NA	NA
1534	ID4t2_1534	23902	freie Zeiteinteilung	3	NA	11:09:46	204	117.2	NA	NA	NA	NA
1534	ID4t2_1534	23901	teurer Anschaffungspreis	-3	NA	11:11:43	20	185.2	NA	NA	NA	NA
1534	ID4t2_1534	23900	Kosten_negative	-3	NA	NA	263	571	NA	NA	NA	NA
1534	ID4t2_1534	23899	Privatsphäre	2	NA	NA	438	242.6	NA	NA	NA	NA
1534	ID4t2_1534	23897	nutzbare Fahrzeit	3	NA	11:14:32	747	448.267	NA	NA	NA	NA
1534	ID4t2_1534	23896	sozialer Kontakt_positive	3	NA	NA	410	455.933	NA	NA	NA	NA
1534	ID4t2_1534	23895	umweltfreundlich_positive	3	NA	NA	792	350	NA	NA	NA	NA
1534	ID4t2_1534	23894	weniger volle Straßen	3	NA	NA	563	129.333	NA	NA	NA	NA
1534	ID4t2_1534	23893	Unabhängigkeit_negative	-1	NA	NA	617	555.533	NA	NA	NA	NA
1534	ID4t2_1534	23892	Kosten_negative	-3	NA	NA	54	415	NA	NA	NA	NA
1536	ID5_1536	23947	Passives Erlebnis	10	NA	NA	931	231	NA	NA	NA	NA
1536	ID5_1536	23946	Zeit	10	NA	NA	470	442	NA	NA	NA	NA
1536	ID5_1536	23945	Gebundenheit_negative	-1	NA	NA	646	68	NA	NA	NA	NA
1536	ID5_1536	23944	Stau_ambivalent	10	NA	NA	390	544	NA	NA	NA	NA
1536	ID5_1536	23943	Schnell, Direkt	10	NA	NA	786	20	NA	NA	NA	NA
1536	ID5_1536	23942	Eigenverantwortung_ambivalent	10	NA	NA	20	544	NA	NA	NA	NA
1536	ID5_1536	23941	Ruecksichtnahme	10	NA	NA	792	547	NA	NA	NA	NA
1536	ID5_1536	23940	Sitzplatz	10	NA	NA	622	544	NA	NA	NA	NA
1536	ID5_1536	23939	Sitzplatz	1	NA	12:53:22	20	440	NA	NA	NA	NA
1536	ID5_1536	23938	Andere Menschen_ambivalent	10	NA	12:52:49	676	419	NA	NA	NA	NA
1536	ID5_1536	23937	Keine nervigen Mitmenschen	1	NA	NA	80	20	NA	NA	NA	NA
1536	ID5_1536	23936	Buch lesen, schlafen	1	NA	NA	924	404	NA	NA	NA	NA
1536	ID5_1536	23935	Zeit zum Abschalten	1	NA	NA	860	299	NA	NA	NA	NA
1536	ID5_1536	23934	Kosten_ambivalent	10	NA	12:50:36	480	153	NA	NA	NA	NA
1536	ID5_1536	23933	Zeit Intensiv	-1	NA	NA	866	135	NA	NA	NA	NA
1536	ID5_1536	23932	zeitsparend_positive	1	NA	12:49:42	61	225	NA	NA	NA	NA
1536	ID5_1536	23931	bequem_positive	1	NA	NA	727	205	NA	NA	NA	NA
1536	ID5_1536	23928	Erfordert Aufmerksamkeit	10	NA	12:46:43	242	456	NA	NA	NA	NA
1536	ID5_1536	23930	Eigen Kontrolle	1	NA	NA	150	345	NA	NA	NA	NA
1536	ID5_1536	23929	Risiken	-2	NA	NA	199	544	NA	NA	NA	NA
1536	ID5_1536	23927	Freiheit_positive	1	NA	NA	63	119	NA	NA	NA	NA
1536	ID5_1536	23926	Gebundenheit_positive	1	NA	NA	238	87	NA	NA	NA	NA
1536	ID5_1536	23925	bequem_positive	1	NA	NA	242	184	NA	NA	NA	NA
1536	ID5_1536	23924	Öffentliche Verkehrsmittel_neutral	0	NA	NA	607	295	NA	NA	NA	NA
1536	ID5_1536	23923	Eigener Pkw_neutral	0	NA	NA	314	298	NA	NA	NA	NA
1537	ID5t2_1537	23975	umweltschonend_ambivalent	10	NA	13:14:23	476	20	NA	NA	NA	NA
1537	ID5t2_1537	23974	Eigener Pkw_neutral	0	NA	NA	314	298	NA	NA	NA	NA
1537	ID5t2_1537	23973	Öffentliche Verkehrsmittel_neutral	0	NA	NA	607	295	NA	NA	NA	NA
1537	ID5t2_1537	23972	bequem_positive	1	NA	NA	242	184	NA	NA	NA	NA
1537	ID5t2_1537	23971	Gebundenheit_positive	1	NA	NA	238	87	NA	NA	NA	NA
1537	ID5t2_1537	23970	Freiheit_positive	1	NA	NA	63	119	NA	NA	NA	NA
1537	ID5t2_1537	23969	Risiken	-2	NA	NA	199	544	NA	NA	NA	NA
1537	ID5t2_1537	23968	Eigen Kontrolle	1	NA	NA	150	345	NA	NA	NA	NA
1537	ID5t2_1537	23967	Erfordert Aufmerksamkeit	10	NA	12:46:43	242	456	NA	NA	NA	NA
1537	ID5t2_1537	23966	bequem_positive	1	NA	NA	727	205	NA	NA	NA	NA
1537	ID5t2_1537	23965	zeitsparend_positive	1	NA	12:49:42	61	225	NA	NA	NA	NA
1537	ID5t2_1537	23964	Zeit Intensiv	-1	NA	NA	866	135	NA	NA	NA	NA
1537	ID5t2_1537	23963	Kosten_ambivalent	10	NA	12:50:36	480	153	NA	NA	NA	NA
1537	ID5t2_1537	23962	Zeit zum Abschalten	1	NA	NA	860	299	NA	NA	NA	NA
1537	ID5t2_1537	23961	Buch lesen, schlafen	1	NA	NA	924	404	NA	NA	NA	NA
1537	ID5t2_1537	23960	Keine nervigen Mitmenschen	1	NA	NA	80	20	NA	NA	NA	NA
1537	ID5t2_1537	23959	Andere Menschen_ambivalent	10	NA	12:52:49	676	419	NA	NA	NA	NA
1537	ID5t2_1537	23958	Sitzplatz	1	NA	12:53:22	20	440	NA	NA	NA	NA
1537	ID5t2_1537	23957	Sitzplatz	10	NA	NA	622	544	NA	NA	NA	NA
1537	ID5t2_1537	23956	Ruecksichtnahme	10	NA	NA	792	547	NA	NA	NA	NA
1537	ID5t2_1537	23955	Eigenverantwortung_ambivalent	10	NA	NA	20	544	NA	NA	NA	NA
1537	ID5t2_1537	23954	Schnell, Direkt	10	NA	NA	786	20	NA	NA	NA	NA
1537	ID5t2_1537	23953	Stau_ambivalent	10	NA	NA	390	544	NA	NA	NA	NA
1537	ID5t2_1537	23952	Gebundenheit_negative	-1	NA	NA	646	68	NA	NA	NA	NA
1537	ID5t2_1537	23951	Zeit	10	NA	NA	470	442	NA	NA	NA	NA
1537	ID5t2_1537	23950	Passives Erlebnis	10	NA	NA	931	231	NA	NA	NA	NA
1540	ID7_1540	24018	umweltbelastender	-1	NA	19:59:47	412	526	NA	NA	NA	NA
1540	ID7_1540	24017	Vorteilhaft in Großstädten	1	NA	19:59:17	670	48	NA	NA	NA	NA
1540	ID7_1540	24016	Vorrausplanung nötig	-1	NA	NA	982	22	NA	NA	NA	NA
1540	ID7_1540	24015	spontan	1	NA	NA	252	-6	NA	NA	NA	NA
1540	ID7_1540	24014	schlechtes Wetter_negative	-1	NA	19:55:36	1658	284	NA	NA	NA	NA
1540	ID7_1540	24013	Transportmöglichkeit	1	NA	19:52:33	366	88	NA	NA	NA	NA
1540	ID7_1540	24012	umweltfreundlich_positive	1	NA	19:54:27	1130	630	NA	NA	NA	NA
1540	ID7_1540	24011	Kostengünstig	1	NA	19:54:11	1344	516	NA	NA	NA	NA
1540	ID7_1540	24010	Anbindung nicht immer gegeben	-1	NA	19:54:39	828	698	NA	NA	NA	NA
1540	ID7_1540	24009	Kosten_negative	-1	NA	19:51:09	12	364	NA	NA	NA	NA
1540	ID7_1540	24008	Verschleiß	-1	NA	19:51:24	254	649	NA	NA	NA	NA
1540	ID7_1540	24006	Kosten_negative	-1	NA	19:51:20	9.00002	611	NA	NA	NA	NA
1540	ID7_1540	24005	Kostenintesiver	-2	NA	19:51:16	124	487	NA	NA	NA	NA
1540	ID7_1540	24004	flexibel_positive	3	NA	19:50:51	47	20	NA	NA	NA	NA
