CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	isDraggable	isDeletable	isTextChangeable	isActive
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	103b01c5-c475-4a9f-b7cd-2aa15f29f1d0	weniger Motivation	-2	im Studium/Schule/bei der Arbeit selbst	2022-12-30T20:45:09Z	840	513	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	f12ca355-e490-4e5c-979b-562ad4ebf266	Chancengleichheit	3		2022-12-30T20:51:19Z	319	355	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	6dc7d9a0-8240-4260-96bc-fe39563f605c	Armutsbekämpfung	3		2022-12-30T20:51:49Z	814	289	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	8197f530-460b-42eb-9b25-abea1cc2b1e5	Verlust des Leistungsprinzips	-2	warum überhaupt noch arbeiten?	2022-12-30T20:52:34Z	443	457	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	e178f31d-5ff8-45ec-8ec3-c8a974195f79	Einwanderung in Sozialstaat	-1	Leute kommen um ebenfalls vom BGE zu profitieren	2022-12-30T20:57:37Z	479	589	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	048a7347-67cb-4bcb-8bf7-1611c3f163f4	Hohe finanzielle Belastung	-1	für den Staat, wie sollen die Kosten gestämmt werden?	2022-12-30T20:58:30Z	654	569	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	b3d884b7-0d0d-403d-b09e-d4497ea9f117	Selbstverwirklichung	3	Berufswahl unabhängig vom Gehalt sondern anhand von persönlichem Interesse,...	2022-12-30T20:59:27Z	516	162	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	ea2dea6b-c16a-47ae-89b5-26fbd8f587a7	Ausbildungsberufe werden attraktiver	1	warum noch studieren? Beseitigung von Fachkräftemangel	2022-12-30T21:01:19Z	422	253	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	282ad8a9-b7d8-46c8-b5ba-748a204f864d	gesellschaftliches Gemeinschaftsgefühl	2	Weniger Neid, keine Klassengesellschaft mehr	2022-12-30T21:02:51Z	688	201	1	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	1918dcf5-267a-4e58-9f53-995179111087	Preiserhöhungen	-1		2022-12-30T21:04:47Z	1004	365	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	4ccf4d07-2270-4a14-ad20-2c18265f7b95	Bedingungsloses Grundeinkommen	0		2022-12-30T19:40:13Z	670	405	1	0	0	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	a9d5f434-c1cf-4ee9-8887-bbb07dc2b112	Stärkung der Grundrechte	3		2022-12-30T19:40:26Z	963	242	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	c608c1f5-76e6-419e-ab0f-d5dc2a71c02f	Fehlender Antrieb	-3	Ziele zu verwirklichen	2022-12-30T19:41:00Z	343	250	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	b2424ee5-bfeb-4b6e-8f0f-109e73fc9db1	Wahrung der Menschenwürde	3	Ethisch, moralisch und gesetzlich	2022-12-30T19:42:00Z	706	210	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	98065dec-b3c4-4dcf-92fb-1b054ae30394	Erhöhung der Steuerlast	10	Des Staates	2022-12-30T19:42:54Z	472	513	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	8f09b43c-66e1-4187-a989-039c303d8948	Finanzielle Absicherung	2	Des Einzelnen	2022-12-30T19:43:34Z	866	525	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	db1bfe3f-e4f9-4cc7-b3a4-a0425b825427	Gesellschaftlicher Fortschritt	3	Durch das bed. Grundeinkommen	2022-12-30T19:44:43Z	1000	400	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	92dc1207-11fc-432b-bbc6-bcd93ca54222	Reduzierung von Stigmatisierung	2		2022-12-30T19:45:30Z	503	126	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	a053293a-7c71-4818-9690-71b898ce86ce	Weniger Budget	-1	Des Staates für andere Posten	2022-12-30T19:46:27Z	174	388	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	bbf4bb9a-f659-4b39-b3dc-187a733f9074	Erhöhte Fürsorge	3	Des Staates gegenüber dem Einzelnen	2022-12-30T19:47:19Z	408	384	1	1	1	TRUE
7e242fa7-a09f-4416-b20b-00b8b101107e	19186	5f059129-e0a4-4092-ad65-c4d0faa8db77	Bedingungsloses Grundeinkommen	0		2022-12-30T19:22:10Z	650	400	1	0	0	TRUE
